연번,지번주소,도로명 주소,위도,경도
54,서울특별시 강남구 역삼동 620-24,서울특별시 강남구 테헤란로5길 49 (역삼동),37.5017450016,127.0293230114
55,서울특별시 강남구 역삼동 621-36,서울특별시 강남구 강남대로 100길 31 (역삼동),37.5022106697,127.0284705857
56,서울특별시 강남구 역삼동 622-4,서울특별시 강남구 봉은사로 22길 64 (역삼동),37.5030872774,127.0294938563
57,서울특별시 강남구 역삼동 632,서울특별시 강남구 테헤란로13길 52 (역삼동),37.5029759958,127.0312743661
58,서울특별시 강남구 역삼동 623-12,서울특별시 강남구봉은사로22길 52 (역삼동),37.5036966770,127.0300128637
59,서울특별시 강남구 역삼동 624-1,서울특별시 강남구 봉은사로22길 37 (역삼동),37.5044743899,127.0308481655
60,서울특별시 강남구 역삼동 612-8,서울특별시 강남구 봉은사로24길38 (역삼동),37.5045198363,127.0317336162
61,서울특별시 강남구 역삼동 624-30,서울특별시 강남구 봉은사로24길 52 (역삼동),37.5036050012,127.0315624554
62,서울특별시 강남구 역삼동 630-1,서울특별시 강남구 봉은사로24길65 (역삼동),37.5026724991,127.0320877222
63,서울특별시 강남구 역삼동 637-6,서울특별시 강남구 테헤란로13길 22-11 (역삼동),37.5016696830,127.0320757576
64,서울특별시 강남구 역삼동 636-33,서울특별시 강남구 강남대로94길 51-14 (역삼동),37.5013576685,127.0310495435
65,서울특별시 강남구 역삼동 636-24,서울특별시 강남구 강남대로 94길 51-4 (역삼동),37.5006681294,127.0313878513
66,서울특별시 강남구 역삼동 638,서울특별시 강남구 논현로97길29 (역삼동),37.5026847792,127.0332947761
67,서울특별시 강남구 역삼동 645 ,서울특별시 강남구 논현로95길 33 (역삼동),37.5015406599,127.0333733193
68,서울특별시 강남구 역삼동 643-15,서울특별시 강남구 테헤란로21길24 (역삼동),37.5017528512,127.0343013358
69,서울특별시 강남구 역삼동 643-2,서울특별시 강남구 논현로95길 17 (역삼동),37.5020332776,127.0344960966
70,서울특별시 강남구 역삼동 739-15,서울특별시 강남구논현로79길 24,37.4975937599,127.0362687127
71,서울특별시 강남구 역삼동 744-3,서울특별시 강남구 테헤란로 22길 45,37.4969707961,127.0359999475
